PresentId,Dimension1,Dimension2,Dimension3
174,19,10,53
175,26,56,68
176,14,19,35
177,30,11,8
178,7,59,47
179,30,26,13
180,36,67,19
181,87,73,170
182,10,31,14
183,223,223,100
184,2,10,2
185,58,33,5
186,198,207,135
187,38,58,15
188,19,8,68
189,238,211,95
190,9,9,6
191,7,35,21
192,145,218,175
193,22,16,36
194,5,8,7
195,4,7,10
196,9,8,10
197,5,42,57
198,3,5,3
199,2,10,2
200,3,5,2
201,5,9,2
202,24,30,33
203,29,35,29
204,9,27,80
205,197,72,168
206,8,4,6
207,22,7,81
208,30,6,9
209,17,10,6
210,16,35,19
211,2,10,7
212,43,14,66
213,138,115,203
214,138,184,130
215,46,39,20
216,9,9,4
217,70,27,7
218,26,28,22
219,221,169,144
220,8,8,9
221,9,68,41
222,50,26,66
223,10,70,62
224,19,36,33
225,10,2,7
226,112,121,218
227,93,233,102
228,236,88,109
229,8,9,10
230,40,40,43
231,32,19,25
232,41,31,8
233,23,55,64
234,11,41,95
235,2,6,6
236,8,8,3
237,114,212,128
238,16,40,44
239,6,7,7
240,2,5,6
241,93,179,221
242,11,35,69
243,14,25,53
244,29,24,31
245,10,4,7
246,41,28,96
247,45,59,68
248,32,41,79
249,10,10,7
250,10,9,8
251,25,50,50
252,179,155,143
253,11,25,16
254,52,41,53
255,216,70,142
256,5,5,53
257,4,8,8
258,10,4,7
259,2,4,2
260,9,3,3
261,25,21,57
262,8,4,8
263,27,22,69
264,231,225,97
265,33,32,84
266,216,217,246
267,99,180,230
268,32,58,18
269,85,180,198
270,250,234,135
271,222,226,150
272,30,14,80
273,123,117,145
274,44,23,50
275,70,139,161
276,4,8,3
277,40,69,66
278,147,118,232
279,195,71,146
280,44,69,41
281,144,217,121
282,132,93,154
283,28,34,68
284,7,5,5
285,57,46,60
286,53,11,6
287,4,4,8
288,8,6,6
289,83,184,161
290,9,6,2
291,10,5,5
292,216,164,216
293,30,30,71
294,218,214,133
295,103,82,157
296,4,7,3
297,10,4,10
298,108,125,237
299,12,38,14
300,44,25,53
301,170,81,200
302,66,10,32
303,29,18,55
304,153,182,230
305,10,7,7
306,6,7,4
307,206,80,205
308,26,18,43
309,126,162,67
310,13,68,61
311,6,3,5
312,7,12,54
313,44,20,63
314,36,17,15
315,9,5,8
316,142,189,154
317,34,35,99
318,41,31,25
319,46,67,55
320,86,228,101
321,33,35,30
322,8,4,3
323,5,4,5
324,7,9,2
325,2,2,7
326,224,209,192
327,126,174,138
328,5,47,19
329,10,5,2
330,218,159,108
331,13,36,32
332,18,31,64
333,37,18,19
334,31,44,32
335,49,28,6
336,6,3,7
337,15,37,49
338,169,110,187
339,244,125,180
340,41,59,10
341,19,18,32
342,66,43,66
343,200,250,164
344,63,34,20
345,3,3,8
346,41,7,95
347,28,22,58
348,44,5,71
349,97,190,141
350,15,35,52
351,17,18,97
352,9,30,80
353,35,34,89
354,50,26,64
355,27,41,29
356,17,40,30
357,7,3,10
358,14,12,22
359,2,9,2
360,69,57,20
361,23,14,57
362,13,19,37
363,29,33,42
364,24,57,10
365,9,6,5
366,45,9,80
367,163,145,79
368,4,8,2
369,9,8,3
370,20,5,47
371,78,133,142
372,70,15,54
373,5,7,5
374,12,14,25
375,4,9,7
376,44,65,14
377,50,17,62
378,2,2,7
379,21,34,95
380,68,28,50
381,26,20,68
382,6,5,3
383,39,10,42
384,3,5,7
385,51,55,30
386,95,200,215
387,30,40,75
388,45,21,9
389,11,33,19
390,7,33,5
391,35,34,63
392,15,42,23
393,20,64,36
394,7,5,5
395,234,132,223
396,5,2,7
397,129,167,148
398,66,29,22
399,90,213,109
400,6,9,7
401,8,36,94
402,2,3,6
403,193,233,125
404,15,38,22
405,17,60,22
406,36,15,63
407,3,8,2
408,19,57,8
409,9,9,2
410,2,3,7
411,10,6,10
412,55,60,11
413,8,17,57
414,3,2,6
415,240,247,114
416,68,115,222
417,208,188,236
418,14,15,90
419,4,3,8
420,217,105,69
421,4,2,3
422,141,103,117
423,40,61,64
424,153,195,177
425,64,29,48
426,69,151,117
427,80,117,183
428,31,5,44
429,7,6,10
430,8,4,9
431,39,24,45
432,4,10,6
433,67,50,7
434,7,2,3
435,15,60,24
436,9,3,2
437,34,59,59
438,27,33,4
439,163,250,151
440,8,15,42
441,31,27,42
442,3,5,9
443,162,163,194
444,28,64,37
445,8,27,62
446,4,2,10
447,6,10,6
448,4,10,2
449,248,225,95
450,7,8,10
451,11,26,41
452,15,10,5
453,54,11,38
454,32,47,53
455,28,28,47
456,8,57,55
457,22,24,14
458,41,26,46
459,19,17,12
460,54,32,45
461,35,6,50
462,176,243,177
463,7,10,5
464,39,35,77
465,30,34,57
466,2,8,9
467,7,7,7
468,9,5,7
469,98,151,91
470,247,69,159
471,42,19,73
472,3,4,2
473,5,7,7
474,70,38,45
475,4,7,6
476,36,31,13
477,2,4,4
478,38,10,40
479,192,219,124
480,59,66,30
481,204,154,155
482,34,19,7
483,205,188,217
484,45,35,70
485,35,44,91
486,114,129,183
487,4,6,10
488,9,9,4
489,2,7,7
490,14,23,49
491,10,6,10
492,44,26,66
493,109,133,207
494,38,67,65
495,10,4,2
496,18,29,49
497,247,90,197
498,65,17,47
499,23,31,42
500,2,4,3
501,27,26,24
502,19,7,63
503,224,117,79
504,5,9,8
505,47,53,22
506,25,21,34
507,16,40,13
508,2,5,8
509,200,234,210
510,85,111,145
511,34,70,55
512,41,5,97
513,19,17,49
514,12,43,68
515,244,98,90
516,36,32,29
517,7,23,42
518,235,174,83
519,2,2,6
520,41,10,57
521,17,20,58
522,124,74,132
523,38,24,22
524,246,152,149
525,12,43,28
526,7,10,2
527,31,37,49
528,2,7,5
529,185,195,171
530,44,24,9
531,8,3,8
532,8,17,55
533,9,3,3
534,174,101,141
535,5,4,7
536,225,187,93
537,60,13,55
538,4,7,8
539,62,15,29
540,30,18,52
541,8,10,10
542,10,5,9
543,6,6,8
544,34,38,49
545,29,17,33
546,198,155,114
547,9,2,10
548,124,200,69
549,8,53,31
550,235,148,193
551,132,200,80
552,32,16,99
553,52,23,65
554,52,61,40
555,4,5,9
556,79,166,109
557,7,5,8
558,3,4,5
559,3,7,8
560,37,15,21
561,33,7,20
562,118,93,133
563,31,19,11
564,226,193,145
565,118,220,167
566,9,51,9
567,5,23,50
568,120,130,250
569,203,214,214
570,173,66,127
571,36,27,13
572,32,18,45
573,13,11,46
574,6,3,7
575,2,9,3
576,74,216,125
577,5,5,9
578,34,25,94
579,2,4,2
580,10,26,11
581,36,18,60
582,104,129,246
583,146,105,114
584,109,140,127
585,6,7,8
586,29,63,12
587,198,174,156
588,2,4,2
589,225,242,180
590,47,27,62
591,30,56,21
592,13,27,54
593,45,11,81
594,67,57,40
595,4,7,2
596,38,29,88
597,23,15,18
598,183,195,171
599,241,108,102
600,38,35,76
601,56,18,32
602,40,36,28
603,97,134,217
604,7,10,2
605,10,8,5
606,21,37,47
607,179,124,223
608,4,4,8
609,33,23,6
610,2,8,2
611,22,25,70
612,9,39,27
613,28,7,30
614,81,191,169
615,36,19,21
616,171,160,203
617,93,175,244
618,8,7,2
619,21,18,89
620,8,8,6
621,54,35,26
622,5,20,47
623,9,2,8
624,72,100,236
625,5,33,11
626,22,34,59
627,10,16,77
628,123,109,115
629,9,27,24
630,14,42,100
631,9,6,5
632,204,217,112
633,38,13,11
634,10,17,17
635,14,18,9
636,5,33,75
637,31,58,7
638,5,5,6
639,36,23,38
640,34,13,3
641,222,192,119
642,4,6,5
643,8,5,8
644,162,140,228
645,140,185,165
646,59,59,25
647,35,62,34
648,4,7,7
649,28,20,7
650,32,8,8
651,10,53,68
652,213,208,151
653,5,7,8
654,41,24,55
655,17,40,21
656,4,4,5
657,3,6,4
658,91,134,74
659,9,18,70
660,9,7,3
661,26,32,28
662,235,66,110
663,211,154,65
664,5,7,10
665,154,140,242
666,32,17,50
667,24,19,6
668,3,8,8
669,79,141,196
670,204,205,94
671,8,2,4
672,3,5,8
673,32,45,16
674,2,3,10
675,35,28,53
676,9,9,7
677,11,41,94
678,37,30,17
679,200,99,159
680,4,7,2
681,7,8,2
682,207,248,142
683,130,130,75
684,6,27,65
685,16,16,17
686,3,9,6
687,10,8,9
688,3,3,8
689,10,20,46
690,130,136,240
691,3,6,4
692,116,117,183
693,33,17,90
694,39,12,36
695,206,115,146
696,10,8,9
697,9,9,7
698,8,10,5
699,7,7,10
700,2,4,2
701,6,5,2
702,21,39,77
703,100,110,66
704,109,238,151
705,8,6,32
706,136,184,203
707,17,23,16
708,6,9,4
709,87,73,93
710,37,30,48
711,30,34,81
712,95,206,204
713,152,84,194
714,7,47,50
715,174,220,117
716,44,65,32
717,3,5,4
718,2,3,5
719,91,112,237
720,50,25,56
721,6,4,3
722,75,193,155
723,4,3,9
724,12,33,11
725,7,5,2
726,28,26,33
727,8,13,25
728,75,86,120
729,19,10,11
730,46,40,64
731,2,9,5
732,29,46,11
733,193,224,183
734,19,64,28
735,33,37,61
736,9,7,66
737,10,7,2
738,6,8,2
739,97,172,168
740,44,19,89
741,9,6,3
742,3,6,6
743,27,39,7
744,160,76,177
745,11,16,100
746,4,5,4
747,15,18,75
748,8,38,31
749,133,222,164
750,12,32,75
751,3,4,7
752,17,48,42
753,75,184,216
754,175,99,250
755,66,36,19
756,102,123,193
757,4,4,10
758,59,62,14
759,13,38,40
760,43,8,18
761,8,7,10
762,174,70,214
763,172,102,160
764,9,34,38
765,3,5,4
766,3,7,9
767,19,11,40
768,166,250,202
769,229,243,180
770,104,218,159
771,26,50,66
772,4,7,9
773,4,8,4
774,33,34,6
775,8,3,7
776,8,13,50
777,14,44,14
778,215,185,212
779,5,8,6
780,6,2,3
781,7,6,4
782,70,120,74
783,30,53,65
784,2,9,8
785,110,71,186
786,15,14,19
787,50,21,25
788,24,10,66
789,37,35,8
790,8,7,6
791,117,100,117
792,62,67,19
793,8,10,6
794,20,11,23
795,6,8,8
796,50,70,54
797,5,5,8
798,29,34,43
799,60,43,25
800,4,6,3
801,7,10,3
802,51,22,50
803,144,183,193
804,28,36,6
805,19,68,13
806,2,2,9
807,4,10,5
808,140,116,205
809,32,39,41
810,32,37,62
811,63,60,21
812,187,168,152
813,7,9,4
814,43,51,19
815,4,8,2
816,132,66,237
817,9,10,10
818,28,37,60
819,21,8,61
820,38,30,18
821,205,248,134
822,17,7,14
823,201,159,91
824,38,55,28
825,8,9,4
826,21,5,59
827,7,7,7
828,69,127,122
829,8,43,33
830,45,40,79
831,3,3,5
832,187,147,190
833,27,44,56
834,135,66,185
835,4,6,6
836,10,5,10
837,9,9,3
838,36,10,39
839,44,38,91
840,153,139,226
841,8,8,7
842,3,10,7
843,237,247,175
844,3,5,9
845,42,44,30
846,33,41,43
847,5,8,10
848,82,198,234
849,2,5,2
850,28,17,30
851,10,13,39
852,230,244,202
853,2,4,3
854,23,28,38
855,5,2,6
856,94,243,127
857,69,207,209
858,161,209,208
859,190,247,242
860,8,6,10
861,26,5,20
862,162,82,147
863,8,10,3
864,22,36,25
865,15,23,94
866,5,4,3
867,32,14,53
868,9,8,2
869,4,6,9
870,82,166,171
871,127,214,123
872,6,5,3
873,131,122,227
874,202,249,235
875,2,5,9
876,22,43,26
877,25,33,53
878,137,154,189
879,5,9,8
880,22,43,67
881,37,45,85
882,68,50,60
883,77,131,80
884,6,33,94
885,6,7,5
886,5,3,4
887,86,198,126
888,161,177,250
889,196,65,129
890,6,38,25
891,50,29,47
892,65,232,143
893,233,97,118
894,148,191,176
895,97,157,213
896,7,4,7
897,231,91,152
898,64,21,61
899,5,8,6
900,42,42,10
901,67,35,27
902,91,162,81
903,3,7,3
904,24,19,36
905,43,40,9
906,45,13,83
907,135,249,216
908,19,65,10
909,37,38,55
910,5,7,5
911,60,9,56
912,16,17,54
913,41,10,64
914,215,111,179
915,25,8,35
916,21,10,58
917,10,2,5
918,5,7,9
919,6,7,3
920,25,41,47
921,7,6,7
922,67,68,15
923,54,14,66
924,2,6,8
925,60,37,7
926,2,5,8
927,44,42,32
928,3,7,6
929,2,5,9
930,7,4,8
931,16,45,30
932,14,35,9
933,162,209,247
934,36,43,24
935,5,6,9
936,4,10,9
937,211,172,76
938,19,37,23
939,8,2,3
940,10,3,10
941,245,188,219
942,12,7,80
943,18,50,56
944,25,12,6
945,13,30,27
946,37,5,2
947,8,3,6
948,36,6,35
949,229,150,146
950,2,3,7
951,238,178,237
952,4,9,6
953,23,31,57
954,8,8,7
955,2,9,9
956,180,228,218
957,3,8,7
958,50,60,12
959,113,184,187
960,183,226,180
961,8,40,53
962,56,28,57
963,174,173,119
964,116,176,83
965,29,65,39
966,67,38,67
967,12,59,57
968,173,122,148
969,23,13,10
970,6,6,2
971,24,20,49
972,10,5,5
973,63,6,34
974,189,242,131
975,54,53,24
976,10,8,6
977,7,4,6
978,7,70,65
979,26,40,23
980,34,32,66
981,6,42,88
982,7,2,7
983,8,7,9
984,64,8,28
985,198,238,123
986,10,6,5
987,66,153,247
988,124,98,205
989,34,27,95
990,10,14,82
991,5,33,24
992,10,14,12
993,147,145,112
994,67,192,180
995,84,209,102
996,5,10,10
997,3,10,3
998,91,168,92
999,7,8,7
1000,26,23,20
1001,5,47,59
1002,6,8,4
1003,227,174,176
1004,13,53,7
1005,8,63,23
1006,45,54,70
1007,19,44,81
1008,17,12,46
1009,15,30,74
1010,37,17,76
1011,33,8,19
1012,19,29,33
1013,37,8,85
1014,67,237,132
1015,2,7,4
1016,171,115,193
1017,15,33,12
1018,6,2,6
1019,35,39,40
1020,13,63,33
1021,6,4,8
1022,91,209,174
1023,9,15,17
1024,130,130,156
1025,9,3,3
1026,244,223,202
1027,26,10,64
1028,18,55,62
1029,4,3,3
1030,2,7,2
1031,6,2,3
1032,22,5,23
1033,21,61,40
1034,30,13,50
1035,8,2,4
1036,32,62,62
1037,8,6,9
1038,158,241,112
1039,61,33,11
1040,14,33,42
1041,209,160,141
1042,9,14,69
1043,35,19,45
1044,40,31,17
1045,207,159,230
1046,47,23,56
1047,50,55,9
1048,34,16,92
1049,12,7,8
1050,60,63,63
1051,44,41,86
1052,48,55,47
1053,62,69,46
1054,31,49,12
1055,129,220,210
1056,38,40,46
1057,63,21,25
1058,64,22,35
1059,243,71,158
1060,14,32,26
1061,34,24,5
1062,3,8,7
1063,31,9,30
1064,7,8,9
1065,130,236,138
1066,16,64,14
1067,43,10,20
1068,45,44,96
1069,60,58,39
1070,45,42,77
1071,44,24,46
1072,77,239,86
1073,5,3,9
1074,38,25,84
1075,36,69,21
1076,75,239,140
1077,44,32,61
1078,179,240,76
1079,195,148,244
1080,33,58,36
1081,48,25,67
1082,246,204,222
1083,10,3,9
1084,26,23,25
1085,224,113,130
1086,7,6,8
1087,6,7,9
1088,15,10,77
1089,6,32,84
1090,2,10,2
1091,8,6,10
1092,67,49,45
1093,10,8,9
1094,6,4,5
1095,240,238,234
1096,11,32,7
1097,112,205,145
1098,20,24,71
1099,59,25,40
1100,10,54,13
1101,41,49,59
1102,43,14,35
1103,149,75,100
1104,9,2,5
1105,7,3,3
1106,23,12,49
1107,109,71,227
1108,3,3,5
1109,213,142,150
1110,8,34,55
1111,38,10,98
1112,9,2,3
1113,6,8,10
1114,5,4,3
1115,30,26,37
1116,45,23,11
1117,45,47,26
1118,199,99,210
1119,23,38,21
1120,8,8,8
1121,8,2,7
1122,8,9,6
1123,219,206,101
1124,7,10,3
1125,17,40,34
1126,62,64,52
1127,2,8,7
1128,26,42,31
1129,29,36,69
1130,61,50,62
1131,10,2,3
1132,152,150,116
1133,25,11,75
1134,47,6,32
1135,34,33,6
1136,24,36,75
1137,34,6,89
1138,34,31,65
1139,25,17,24
1140,51,47,44
1141,9,10,2
1142,82,248,162
1143,2,7,8
1144,7,4,8
1145,4,2,10
1146,3,5,9
1147,29,20,57
1148,30,28,29
1149,16,37,61
1150,5,4,9
1151,182,198,83
1152,3,4,8
1153,8,6,7
1154,119,90,153
1155,2,10,2
1156,192,134,123
1157,28,24,19
1158,31,29,36
1159,134,199,148
1160,5,2,7
1161,9,9,5
1162,53,24,63
1163,29,35,61
1164,43,18,31
1165,171,154,137
1166,17,12,56
1167,167,142,205
1168,2,4,9
1169,10,6,8
1170,28,41,34
1171,203,184,176
1172,9,9,7
1173,40,23,55
1174,210,139,126
1175,69,69,31
1176,4,6,3
1177,64,15,36
1178,209,139,185
1179,7,15,49
1180,33,16,75
1181,10,32,66
1182,16,23,56
1183,200,150,71
1184,42,27,74
1185,73,152,162
1186,25,32,48
1187,10,30,95
1188,6,40,24
1189,52,43,27
1190,140,108,151
1191,61,52,50
1192,20,37,76
1193,75,178,107
1194,40,31,81
1195,89,160,125
1196,8,7,3
1197,14,5,13
1198,2,2,9
1199,39,18,44
1200,39,32,48
1201,2,3,8
1202,87,215,238
1203,4,5,9
1204,249,218,239
1205,146,174,109
1206,6,4,9
1207,19,32,42
1208,126,236,100
1209,247,230,194
1210,127,147,99
1211,55,6,24
1212,6,6,4
1213,4,6,5
1214,69,39,50
1215,16,69,23
1216,2,8,5
1217,9,9,5
1218,47,36,7
1219,37,59,55
1220,7,10,7
1221,137,179,220
1222,170,96,186
1223,9,6,7
1224,59,7,23
1225,42,14,52
1226,7,5,2
1227,12,12,12
1228,16,24,87
1229,27,5,67
1230,39,6,73
1231,22,18,50
1232,7,62,50
1233,121,201,250
1234,8,8,9
1235,106,120,229
1236,7,32,75
1237,34,20,37
1238,28,26,34
1239,32,18,3
1240,2,10,8
1241,33,43,54
1242,4,5,3
1243,10,5,3
1244,3,10,5
1245,49,32,56
1246,248,133,73
1247,45,23,59
1248,23,45,93
1249,35,26,19
1250,11,17,68
1251,144,188,110
1252,7,3,3
1253,17,35,60
1254,45,13,67
1255,72,182,218
1256,62,36,12
1257,59,69,54
1258,7,5,2
1259,5,10,4
1260,30,7,41
1261,17,58,57
1262,32,9,76
1263,3,5,4
1264,31,5,35
1265,199,89,76
1266,7,34,34
1267,75,177,144
1268,3,10,4
1269,55,5,43
1270,184,178,71
1271,195,169,134
1272,32,17,97
1273,10,7,5
1274,12,22,33
1275,227,169,218
1276,206,114,237
1277,7,20,4
1278,113,91,121
1279,3,8,8
1280,50,12,10
1281,9,9,5
1282,184,174,166
1283,10,10,8
1284,2,2,5
1285,177,175,76
1286,24,30,45
1287,8,9,7
1288,48,20,35
1289,141,162,242
1290,28,10,33
1291,29,18,62
1292,71,79,185
1293,5,8,6
1294,41,48,24
1295,5,37,60
1296,170,152,221
1297,9,13,4
1298,35,7,17
1299,51,63,49
1300,6,23,8
1301,4,5,4
1302,4,10,3
1303,29,12,97
1304,6,4,6
1305,24,40,30
1306,10,30,29
1307,3,9,10
1308,55,13,62
1309,23,12,44
1310,36,40,68
1311,89,135,143
1312,14,44,5
1313,58,41,11
1314,170,219,68
1315,49,9,13
1316,64,45,6
1317,30,6,9
1318,39,39,33
1319,216,78,171
1320,20,13,37
1321,31,54,56
1322,32,33,85
1323,5,9,5
1324,66,52,60
1325,44,18,5
1326,3,8,10
1327,7,3,4
1328,8,33,21
1329,20,11,35
1330,65,33,28
1331,2,3,7
1332,5,7,2
1333,239,216,102
1334,15,41,99
1335,220,132,232
1336,26,40,65
1337,6,3,10
1338,55,31,12
1339,2,4,8
1340,34,69,21
1341,224,160,71
1342,28,27,43
1343,18,44,59
1344,3,10,5
1345,31,28,47
1346,23,14,57
1347,40,36,17
1348,2,10,10
1349,66,6,32
1350,35,70,55
1351,78,208,111
1352,27,23,61
1353,3,7,9
1354,137,226,195
1355,181,96,160
1356,6,5,3
1357,44,19,63
1358,46,63,61
1359,8,8,8
1360,6,7,5
1361,19,20,50
1362,5,4,2
1363,250,78,229
1364,39,9,8
1365,4,3,6
1366,58,6,9
1367,36,69,52
1368,35,15,30
1369,10,46,30
1370,5,5,8
1371,177,233,242
1372,85,133,188
1373,6,7,5
1374,176,173,225
1375,65,51,13
1376,45,63,7
1377,12,51,38
1378,25,8,70
1379,90,162,110
1380,55,40,21
1381,53,62,12
1382,227,198,86
1383,8,4,8
1384,63,18,25
1385,7,9,6
1386,2,4,7
1387,34,25,49
1388,40,26,95
1389,7,9,93
1390,149,241,232
1391,4,8,5
1392,70,65,46
1393,113,113,116
1394,18,35,9
1395,111,243,216
1396,22,23,49
1397,158,155,217
1398,31,39,42
1399,40,42,27
1400,44,22,98
1401,43,31,37
1402,29,34,17
1403,154,219,219
1404,66,59,47
1405,73,157,206
1406,9,4,10
1407,15,62,23
1408,9,9,7
1409,21,37,84
1410,15,38,42
1411,30,30,50
1412,5,24,50
1413,2,8,6
1414,8,7,8
1415,188,199,101
1416,159,94,181
1417,44,17,59
1418,13,31,76
1419,38,29,16
1420,186,247,196
1421,239,102,72
1422,32,5,15
1423,4,6,5
1424,8,6,2
1425,134,92,214
1426,54,59,29
1427,17,24,36
1428,139,125,126
1429,102,111,231
1430,98,228,247
1431,79,244,200
1432,33,43,14
1433,38,6,56
1434,8,5,3
1435,208,94,125
1436,167,195,77
1437,24,31,60
1438,39,28,25
1439,139,209,209
1440,3,5,8
1441,244,246,195
1442,153,235,72
1443,9,2,4
1444,9,3,9
1445,36,9,83
1446,18,37,12
1447,28,39,61
1448,169,124,71
1449,10,10,10
1450,29,7,79
1451,90,234,225
1452,7,20,30
1453,44,36,15
1454,17,11,49
1455,37,10,74
1456,3,3,10
1457,37,10,24
1458,8,5,7
1459,154,170,208
1460,38,37,10
1461,163,96,154
1462,204,220,234
1463,19,25,48
1464,18,40,35
1465,30,18,40
1466,26,6,9
1467,68,17,63
1468,112,184,136
1469,85,234,172
1470,32,37,49
1471,221,123,213
1472,6,2,8
1473,34,34,12
1474,247,247,168
1475,5,6,6
1476,15,12,26
1477,81,170,179
1478,7,8,5
1479,23,33,14
1480,18,43,35
1481,45,20,99
1482,13,44,93
1483,37,35,47
1484,6,45,74
1485,3,6,3
1486,11,12,87
1487,29,53,36
1488,9,2,10
1489,45,22,61
1490,185,134,150
1491,232,99,248
1492,70,70,35
1493,16,41,57
1494,34,36,14
1495,29,28,13
1496,83,222,91
1497,222,100,82
1498,69,57,47
1499,61,66,53
1500,4,9,8
1501,60,23,48
1502,43,43,41
1503,8,5,8
1504,47,56,48
1505,22,18,43
1506,8,53,5
1507,8,15,25
1508,44,39,4
1509,20,11,38
1510,28,6,55
1511,15,7,8
1512,22,41,75
1513,3,9,9
1514,147,128,247
1515,42,25,63
1516,39,40,84
1517,13,41,36
1518,10,10,11
1519,67,46,55
1520,5,8,6
1521,32,12,39
1522,39,61,43
1523,24,14,41
1524,55,57,53
1525,10,2,5
1526,176,247,151
1527,7,5,5
1528,28,30,99
1529,144,204,205
1530,8,5,10
1531,101,195,181
1532,3,9,5
1533,16,15,82
1534,35,34,16
1535,16,14,42
1536,23,37,29
1537,44,13,17
1538,96,91,222
1539,240,205,79
1540,7,6,6
1541,180,234,184
1542,8,3,9
1543,20,35,63
1544,31,43,34
1545,88,171,211
1546,50,70,14
1547,227,71,124
1548,38,52,26
1549,23,11,12
1550,21,29,78
1551,30,37,48
1552,88,156,65
1553,181,81,164
1554,11,39,21
1555,6,6,8
1556,104,98,108
1557,42,11,63
1558,47,11,29
1559,38,47,29
1560,52,19,42
1561,130,201,222
1562,208,196,165
1563,8,5,2
1564,5,48,11
1565,9,7,4
1566,179,98,146
1567,247,166,236
1568,10,3,5
1569,9,8,9
1570,27,34,19
1571,214,227,84
1572,61,38,51
1573,49,70,69
1574,11,31,96
1575,9,2,9
1576,3,2,9
1577,28,45,42
1578,197,155,204
1579,14,69,59
1580,17,38,6
1581,7,3,8
1582,61,41,52
1583,177,88,177
1584,10,2,6
1585,37,33,63
1586,40,30,75
1587,2,8,6
1588,185,217,234
1589,50,40,26
1590,75,121,202
1591,18,15,56
1592,3,7,6
1593,8,2,10
1594,52,30,70
1595,64,57,28
1596,120,201,197
1597,10,7,6
1598,18,63,48
1599,65,62,33
1600,35,15,98
1601,207,154,87
1602,6,9,2
1603,31,67,6
1604,45,40,39
1605,7,4,8
1606,170,96,204
1607,144,219,132
1608,184,191,211
1609,6,5,4
1610,6,62,10
1611,81,236,89
1612,29,28,21
1613,48,38,18
1614,26,33,86
1615,50,35,53
1616,176,105,236
1617,165,226,249
1618,4,2,7
1619,54,34,56
1620,170,242,161
1621,38,34,91
1622,62,25,14
1623,8,7,10
1624,9,6,9
1625,127,72,166
1626,190,112,146
1627,232,135,92
1628,3,8,6
1629,76,101,191
1630,198,143,196
1631,107,87,163
1632,144,81,130
1633,9,7,6
1634,201,170,246
1635,4,2,5
1636,9,6,4
1637,151,94,161
1638,25,14,84
1639,2,2,6
1640,4,8,7
1641,6,40,8
1642,38,10,46
1643,21,45,59
1644,54,25,12
1645,20,5,8
1646,23,24,11
1647,9,10,6
1648,144,97,141
1649,102,116,218
1650,233,228,190
1651,42,35,93
1652,95,157,142
1653,177,87,143
1654,51,70,53
1655,50,44,40
1656,93,222,71
1657,10,21,63
1658,86,95,85
1659,26,49,62
1660,182,201,107
1661,9,10,10
